"aq",,,,
"Czas","Si³a","Przemieszczenie","Naprê¿.","Rozstaw"
"sec","N","mm","N/mm2","mm"
"1800","-0,02749761","-4,956375","-0,0001556046","8,269875"
"1800,01","-0,02749761","-4,955751","-0,0001556046","8,269251"
"1800,02","-0,02749761","-4,955126","-0,0001556046","8,268625"
"1800,03","-0,02702077","-4,954376","-0,0001529063","8,267876"
"1800,04","-0,0260671","-4,953751","-0,0001475096","8,26725"
"1800,05","-0,02543131","-4,953001","-0,0001439118","8,2665"
"1800,06","-0,02543131","-4,951752","-0,0001439118","8,265251"
"1800,07","-0,02566973","-4,950626","-0,000145261","8,264126"
"1800,08","-0,0260671","-4,949751","-0,0001475096","8,26325"
"1800,09","-0,02646446","-4,949001","-0,0001497582","8,262501"
"1800,1","-0,02646446","-4,948126","-0,0001497582","8,261625"
"1800,11","-0,02622604","-4,94725","-0,000148409","8,26075"
"1800,12","-0,02582868","-4,946501","-0,0001461604","8,26"
"1800,13","-0,02559026","-4,945751","-0,0001448113","8,259251"
"1800,14","-0,02503395","-4,945126","-0,0001416632","8,258625"
"1800,15","-0,02463659","-4,9445","-0,0001394146","8,257999"
"1800,16","-0,02495448","-4,943876","-0,0001412135","8,257376"
"1800,17","-0,02543131","-4,943377","-0,0001439118","8,256876"
"1800,18","-0,02582868","-4,942375","-0,0001461604","8,255875"
"1800,19","-0,02582868","-4,941","-0,0001461604","8,254499"
"1800,2","-0,02559026","-4,939751","-0,0001448113","8,25325"
"1800,21","-0,02527237","-4,938875","-0,0001430124","8,252375"
"1800,22","-0,0251929","-4,938126","-0,0001425626","8,251625"
"1800,23","-0,02527237","-4,937376","-0,0001430124","8,250875"
"1800,24","-0,02543131","-4,936501","-0,0001439118","8,25"
"1800,25","-0,02495448","-4,935751","-0,0001412135","8,24925"
"1800,26","-0,02455711","-4,935125","-0,0001389648","8,248625"
"1800,27","-0,02455711","-4,934502","-0,0001389648","8,248001"
"1800,28","-0,02479553","-4,933876","-0,000140314","8,247375"
"1800,29","-0,02455711","-4,93325","-0,0001389648","8,24675"
"1800,3","-0,0240008","-4,932251","-0,0001358168","8,24575"
"1800,31","-0,02344449","-4,930626","-0,0001326687","8,244125"
"1800,32","-0,02344449","-4,929876","-0,0001326687","8,243376"
"1800,33","-0,02415975","-4,929001","-0,0001367162","8,2425"
"1800,34","-0,0251929","-4,928125","-0,0001425626","8,241625"
